_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
1,Fiscal Year 2010,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Master's Degrees,37
2,Fiscal Year 2010,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Work,,,Bachelor's Degrees,25
3,Fiscal Year 2010,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Doctoral Degrees,3
4,Fiscal Year 2010,Maui CC,520101,General Business,Career & Tech Ed,Business Education,Business Careers,Business Careers,,Associate Degrees,14
5,Fiscal Year 2010,UH Manoa,511201,Medicine,School of Medicine,School of Medicine,Medicine,,,Other,58
6,Fiscal Year 2010,Hawai`i CC,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,19
7,Fiscal Year 2010,UH Hilo,261302,Marine Biology & Bio Ocean,College of Arts & Sciences,Natural Sciences,Marine Science,,,Bachelor's Degrees,31
8,Fiscal Year 2010,UH Manoa,050103,Asian Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Asian Studies,Asian Studies,,Bachelor's Degrees,28
9,Fiscal Year 2010,UH Hilo,160102,Linguistics,Ka Haka Ula O Keelikolani,Linguistics,,,,Bachelor's Degrees,12
10,Fiscal Year 2010,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,25
11,Fiscal Year 2010,UH Manoa,250101,Library Studies,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Library & Information Science,,Master's Degrees,29
12,Fiscal Year 2010,UH Hilo,450901,International Relations,College of Arts & Sciences,Arts & Humanities,China-U.S. Relations,,,Master's Degrees,5
13,Fiscal Year 2010,UH Hilo,430104,Criminal Justice Studies,College of Arts & Sciences,Social Sciences,Administration of Justice,,,Bachelor's Degrees,14
14,Fiscal Year 2010,Maui CC,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Certs of Achievement,8
15,Fiscal Year 2010,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,"Sec Education, Mathematics",,Bachelor's Degrees,7
16,Fiscal Year 2010,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,11
17,Fiscal Year 2010,UH Manoa,050109,Pacific Islands Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Pacific Studies,Pacific Islands Studies,,Master's Degrees,10
18,Fiscal Year 2010,Maui CC,460000,"Construction Trades, General",Career & Tech Ed,Technology,Sustainable Construction Tech,,,Associate Degrees,2
19,Fiscal Year 2010,Honolulu CC,480506,Sheet Metal & Plastics,Career & Tech Ed,Technology,Sheet Metal & Plastics Tech,,,Certs of Achievement,14
20,Fiscal Year 2010,UH Manoa,400404,Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Meteorology,,,Bachelor's Degrees,8
21,Fiscal Year 2010,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,English,,,Bachelor's Degrees,3
22,Fiscal Year 2010,UH Manoa,521101,International Management,College of Business Admin,Business Administration,International Management,,,Doctoral Degrees,3
23,Fiscal Year 2010,Kapi`olani CC,510904,Emergency Medical Services Mgt,Career & Tech Ed,Health Services,Mobile Intens Care Technician,,,Associate Degrees,3
24,Fiscal Year 2010,UH Manoa,510204,Speech Pathology & Audiology,School of Medicine,School of Medicine,Speech Pathology & Audiology,,,Master's Degrees,8
25,Fiscal Year 2010,UH Manoa,160199,"Ling, Comp & Rel Lang Studies",College of Arts & Sciences,"Lang, Ling & Lit",Second Lang Studies,Second Language Acquisition,,Doctoral Degrees,2
26,Fiscal Year 2010,Maui CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Certs of Achievement,2
27,Fiscal Year 2010,Maui CC,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Associate Degrees,1
28,Fiscal Year 2012,UH Hilo,540101,History,College of Arts & Sciences,Social Sciences,History,,,Bachelor's Degrees,16
29,Fiscal Year 2010,Kaua`i CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Technology,,,Certs of Achievement,2
30,Fiscal Year 2011,Hawai`i CC,513901,Lic Practical/Voc Nurse Trng,Career & Tech Ed,Health Services,Nursing,Practical Nursing,,Certs of Achievement,9
31,Fiscal Year 2011,UH Manoa,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,Art,,Bachelor's Degrees,103
32,Fiscal Year 2011,UH Manoa,451001,Political Science/Government,College of Arts & Sciences,Social Sciences,Political Science,,,Doctoral Degrees,10
33,Fiscal Year 2011,UH Manoa,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Computer Science,,Doctoral Degrees,3
34,Fiscal Year 2011,UH Manoa,030201,Natural Resource Mgmt & Policy,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Nat Res & Env Mgt,Natural Res & Environmentl Mgt,,Bachelor's Degrees,9
35,Fiscal Year 2011,UH Manoa,521201,Business Computer Info Sys,College of Business Admin,Business Administration,Management Information Systems,,,Bachelor's Degrees,33
36,Fiscal Year 2011,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,,Other,60
37,Fiscal Year 2011,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Social Sciences,Communications,Communication,,Bachelor's Degrees,66
38,Fiscal Year 2011,UH Manoa,260301,Botany,College of Arts & Sciences,Natural Sciences,Botany Program,Botany,,Bachelor's Degrees,4
39,Fiscal Year 2012,UH Hilo,260101,"Biology/Biological Sci, Gen",College of Arts & Sciences,Natural Sciences,Biology,,,Bachelor's Degrees,26
40,Fiscal Year 2012,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communicology,,,Master's Degrees,3
41,Fiscal Year 2011,UH Manoa,260701,Zoology,College of Arts & Sciences,Natural Sciences,Zoology,,,Bachelor's Degrees,11
42,Fiscal Year 2011,UH Manoa,050102,American Studies,College of Arts & Sciences,Arts & Humanities,American Studies,American Studies,,Doctoral Degrees,1
43,Fiscal Year 2011,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Doctoral Degrees,7
44,Fiscal Year 2012,UH Manoa,540101,History,College of Arts & Sciences,Arts & Humanities,History,,,Bachelor's Degrees,64
45,Fiscal Year 2011,Hawai`i CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,21
46,Fiscal Year 2011,UH Hilo,131202,Elementary Education,College of Arts & Sciences,Social Sciences,Education,Elementary Education,,Other,11
47,Fiscal Year 2011,UH Hilo,422803,Counseling Psychology,College of Arts & Sciences,Social Sciences,Psychology,Counseling Psychology,,Master's Degrees,12
48,Fiscal Year 2011,Kapi`olani CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Certs of Achievement,3
49,Fiscal Year 2011,Maui College,510602,Dental Hygiene,Career & Tech Ed,Health Services,Dental Hygiene,,,Associate Degrees,9
50,Fiscal Year 2011,Maui College,460000,"Construction Trades, General",Career & Tech Ed,Technology,Sustainable Construction Tech,,,Associate Degrees,3
51,Fiscal Year 2011,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,English,,,Bachelor's Degrees,8
52,Fiscal Year 2011,UH Manoa,220101,Law,School of Law,School of Law,Law,,,Other,99
53,Fiscal Year 2011,Maui College,520799,"Entrep & Small Business, Other",Career & Tech Ed,Business Education,Applied Business & Infor Tech,,,Bachelor's Degrees,3
54,Fiscal Year 2011,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Associate Degrees,28
55,Fiscal Year 2011,UH Manoa,500501,Drama & Theatre,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Theatre,,Master's Degrees,11
56,Fiscal Year 2011,UH Manoa,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Doctoral Degrees,4
57,Fiscal Year 2011,UH Manoa,141001,Electrical Engineering,College of Engineering,Engineering,Electrical Engineering,,,Master's Degrees,15
58,Fiscal Year 2011,Kaua`i CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Certs of Achievement,7
59,Fiscal Year 2011,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Master's Degrees,1
60,Fiscal Year 2011,Kaua`i CC,520904,Hotel Operations,Career & Tech Ed,Business Education,Hospitality & Tourism,Hotel Operations,,Certs of Achievement,1
61,Fiscal Year 2012,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Justice Administration,,,Bachelor's Degrees,14
62,Fiscal Year 2012,UH Manoa,131001,Special Education,College of Education,Education,Special Education,,,Other,62
63,Fiscal Year 2012,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,47
64,Fiscal Year 2012,Honolulu CC,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,23
65,Fiscal Year 2012,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Master's Degrees,5
